IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
172.67.6.68,8443,8443,true,NRT,Asia Pacific,Tokyo,215.89,10.11
104.21.16.106,8443,8443,true,NRT,Asia Pacific,Tokyo,215.93,10.11
162.159.142.3,8443,8443,true,NRT,Asia Pacific,Tokyo,215.94,10.11
104.16.6.252,8443,8443,true,NRT,Asia Pacific,Tokyo,215.98,10.11
104.18.183.95,8443,8443,true,NRT,Asia Pacific,Tokyo,216.00,10.11
104.17.239.170,8443,8443,true,NRT,Asia Pacific,Tokyo,216.03,10.11
104.19.231.35,8443,8443,true,NRT,Asia Pacific,Tokyo,216.17,10.11
104.16.62.167,8443,8443,true,NRT,Asia Pacific,Tokyo,216.31,10.11
172.65.212.224,8443,8443,true,NRT,Asia Pacific,Tokyo,216.34,10.11
104.17.242.163,8443,8443,true,NRT,Asia Pacific,Tokyo,216.38,10.11
104.18.126.200,8443,8443,true,NRT,Asia Pacific,Tokyo,216.40,10.11
172.65.41.176,8443,8443,true,NRT,Asia Pacific,Tokyo,216.41,10.11
104.18.120.111,8443,8443,true,NRT,Asia Pacific,Tokyo,216.46,10.11
104.16.100.226,8443,8443,true,NRT,Asia Pacific,Tokyo,216.52,10.11
66.81.247.177,8443,8443,true,NRT,Asia Pacific,Tokyo,216.57,10.11
185.133.35.39,8443,8443,true,NRT,Asia Pacific,Tokyo,216.60,10.11
172.65.211.8,8443,8443,true,NRT,Asia Pacific,Tokyo,216.66,10.11
104.16.99.149,8443,8443,true,NRT,Asia Pacific,Tokyo,216.70,10.11
172.67.5.15,8443,8443,true,NRT,Asia Pacific,Tokyo,216.71,10.11
172.65.213.197,8443,8443,true,NRT,Asia Pacific,Tokyo,216.71,10.11
104.18.66.70,8443,8443,true,NRT,Asia Pacific,Tokyo,216.72,10.11
172.65.47.138,8443,8443,true,NRT,Asia Pacific,Tokyo,216.79,10.11
104.18.124.126,8443,8443,true,NRT,Asia Pacific,Tokyo,216.83,10.11
104.18.65.146,8443,8443,true,NRT,Asia Pacific,Tokyo,216.88,10.11
172.67.10.181,8443,8443,true,NRT,Asia Pacific,Tokyo,216.88,10.11
104.16.55.234,8443,8443,true,NRT,Asia Pacific,Tokyo,216.94,10.11
